"x","y","theta","k","s"
0.0,0.0,3.141592653589793,0.0,0.0
-6.04091088540658,0.0,3.141592653589793,0.0,6.04091088540658
-12.081821770813162,0.0,3.141592653589793,0.0,12.08182177081316
-18.12273265621974,0.0,3.141592653589793,0.0,18.12273265621974
-24.16364354162632,0.0,3.141592653589793,0.0,24.16364354162632
-30.2045544270329,0.0,3.141592653589793,0.0,30.2045544270329
-36.24546531243948,0.0,3.141592653589793,0.0,36.24546531243948
-42.28637619784606,0.0,3.141592653589793,0.0,42.28637619784606
-48.32728708325264,0.0,3.141592653589793,0.0,48.32728708325264
-54.368197968659224,0.0,3.141592653589793,0.0,54.368197968659224
-60.4091088540658,0.0,3.141592653589793,0.0,60.4091088540658
-66.45001973947238,0.0,3.141592653589793,0.0,66.45001973947238
-72.49093062487896,0.0,3.141592653589793,0.0,72.49093062487896
-78.53184151028555,0.0,3.141592653589793,0.0,78.53184151028555
-84.57275239569212,0.0,3.141592653589793,0.0,84.57275239569212
-90.61366328109871,0.0,3.141592653589793,0.0,90.61366328109871
-96.6545741660161,-2.0815286932496e-5,-3.1415031419548,0.0002500309726243897,96.65457416650528
-102.69546642636074,-0.01182158859951237,-3.1352625812892794,0.0019355357884393767,102.69548505191186
-108.73589176327265,-0.08371773312432658,-3.1180459688013418,0.003912703438682238,108.73639593731845
-114.77329978766718,-0.28357917736957833,-3.0877256066369667,0.006313211183722508,114.77730682272502
-120.79939474463623,-0.6992393636752399,-3.041276943989404,0.009301328438570745,120.8182177081316
-126.79308824106887,-1.4442109829109375,-2.9746463878303158,0.013038540742245686,126.85912859353819
-132.70818390900337,-2.6599072526557954,-2.883111106039785,0.0175493521150321,132.90003947894476
-138.4559046097259,-4.506475075844284,-2.762890278971716,0.022410838774016173,138.94095036435135
-143.89326626670262,-7.125266379361427,-2.6149971803549787,0.0264073721149448,144.9818612497579
-148.84865805786757,-10.568767797450752,-2.455059777837119,0.02514435013981641,151.0227721351645
-153.22535093526707,-14.725074161700944,-2.3118525506929415,0.02229066586957143,157.0636830205711
-157.00188811060582,-19.43468639193718,-2.1836078982225273,0.020224079795336365,163.10459390597768
-160.17366842024268,-24.57181521518262,-2.0656016806849693,0.018915130967406928,169.14550479138424
-162.73686665431404,-30.038479800232906,-1.9535100471982052,0.01827497274517322,175.18641567679083
-164.68023296246824,-35.755051398816256,-1.843550136524842,0.01821896276954177,181.22732656219742
-165.98252856810464,-41.65073088675316,-1.7324041829896237,0.018676364910557013,187.26823744760398
-166.6119675233914,-47.655393114657116,-1.6171723616953182,0.01957561914257255,193.30914833301057
-166.5317659765523,-53.692182825346045,-1.4981803840606736,0.019301708673514183,199.35005921841716
-165.74861490226178,-59.678811841177726,-1.384091279299483,0.018510444968562866,205.39097010382372
-164.30057906611933,-65.54042812205753,-1.2734770220947311,0.01818133714001413,211.4318809892303
-162.21722755900976,-71.20746520306534,-1.1633434159427167,0.018383005805106836,217.4727918746369
-159.5174602099066,-76.60792486059631,-1.0502770541286657,0.019188741912649698,223.51370276004346
-156.210241833285,-81.65878360647747,-0.9303754638462313,0.020686502448616924,229.55461364545005
-152.298976105507,-86.25685596017371,-0.799203024564058,0.022958133597561367,235.59552453085664
-147.7899918295944,-90.2688123897766,-0.652016914595644,0.025996314876717597,241.6364354162632
-142.71456610655667,-93.53272029499568,-0.49145261105694243,0.025595607086063028,247.6773463016698
-137.1981333006229,-95.98206021199645,-0.34845916113353453,0.0214031499863977,253.71825718707638
-131.40974243115383,-97.69859388539695,-0.2328821338265198,0.016710385437458994,259.75916807248296
-125.47568696819376,-98.81929168006778,-0.14477468582148056,0.012403754792364958,265.8000789578895
-119.47294197171425,-99.48803658147295,-0.08082381738563707,0.008740080226417523,271.8409898432961
-113.44248480574153,-99.83503340652028,-0.0372518613515968,0.005651623986203902,277.8819007287027
-107.40331836748847,-99.97278325353017,-0.011064807041156274,0.0029664704833957793,283.92281161410926
-101.36249772154359,-99.9998309106173,-0.00037173298988435173,0.0004982668424234422,289.9637224995158
-95.32159589534146,-100.00685111705195,-0.004395591756966028,-0.001933020670611962,296.00463338492244
-89.28125824576591,-100.08308572454433,-0.023426503496998995,-0.004505485539229067,302.045544270329
-83.24541966282409,-100.32272725511922,-0.05884963422062649,-0.007402952722692345,308.08645515573556
-77.22670659771698,-100.83135519919492,-0.1131752759675855,-0.010808532950770425,314.1273660411422
-71.25464607206455,-101.73089451049326,-0.18989929838726244,-0.014850659018375177,320.16827692654874
-65.38808758899849,-103.16053307377624,-0.2928002544674145,-0.019444687655764254,326.20918781195536
-59.73003338114336,-105.26450191578613,-0.4238222766100921,-0.02399834743411391,332.2500986973619
-54.43363631420286,-108.1570875593078,-0.5792843829647728,-0.027235153459414765,338.2910095827685
-49.66189100336175,-111.85157423999087,-0.735067370711971,-0.02413401066691632,344.3319204681751
-45.4794143562956,-116.20378727487436,-0.8728845273389191,-0.021530740083429683,350.37283135358166
-41.8994245638027,-121.0647821619148,-0.9972909689655524,-0.019718959217306455,356.4137422389882
-38.925040242955056,-126.31882666099158,-1.1129245683788473,-0.018637833460809244,362.45465312439484
-36.561921257887,-131.87497261166698,-1.223931582372998,-0.018196342723512768,368.4955640098014
-34.82426721661382,-137.65738743738046,-1.3339338469450412,-0.018314693463956373,374.53647489520796
-33.73685119306262,-143.5964012747725,-1.446111271857577,-0.018924447549996764,380.5773857806146
-33.334876051552264,-149.6204642300547,-1.5632208797950742,-0.019947948754077124,386.61829666602114
-33.647979283679504,-155.64974631365166,-1.6810874854742777,-0.018998261146158185,392.6592075514277
-34.65125947004033,-161.60351825051947,-1.793743645149962,-0.01834912636220098,398.7001184368343
-36.30871359550698,-167.4094308316659,-1.9038528077127,-0.018185336819291787,404.7410293222409
-38.59426406565891,-172.99796095627187,-2.0145441667518726,-0.018574866296520984,410.78194020764744
-41.4923985176739,-178.29449943928697,-2.129381190013977,-0.019595723143389837,416.82285109305406
-44.99643929153635,-183.2106160322334,-2.252439290074744,-0.021338083788852893,422.8637619784606
-49.1034490089127,-187.63429763037513,-2.3883051922441045,-0.023868558861036983,428.9046728638672
-53.80272928817406,-191.42084778689622,-2.541653522200064,-0.027114740000578254,434.9455837492738
-59.041000692391044,-194.41703630936044,-2.6994127105301877,-0.02437022000376472,440.98649463468035
-64.66297946371428,-196.61494793331616,-2.8338685497990705,-0.019872494246581145,447.0274055200869
-70.51004897326045,-198.12155745773018,-2.9402697090967704,-0.01524403902245174,453.06831640549353
-76.47284298358431,-199.07982978103038,-3.020088738534776,-0.011140377005768975,459.1092272909001
-82.48778589475288,-199.6304593031895,-3.0770176382963483,-0.00767939033957687,465.15013817630665
-88.52241876065231,-199.89783064464334,-3.1146574407278216,-0.004742612694026913,471.1910490617133
-94.56252620427081,-199.98923862668366,-3.1356479830818795,-0.0021482914042730917,477.23195994711983
-100.60341789057034,-200.00000000000003,3.141592653589793,0.0,483.2728708325264
-106.64432877597696,-199.99999999999997,3.141592653589793,0.0,489.313781717933
-112.68523966138349,-200.0,3.141592653589793,0.0,495.3546926033396
-118.72615054679007,-200.0,3.141592653589793,0.0,501.39560348874613
-124.76706143219671,-200.0,3.141592653589793,0.0,507.43651437415275
-130.80797231760337,-199.99999999999994,3.141592653589793,0.0,513.4774252595594
-136.84888320300982,-200.00000000000003,3.141592653589793,0.0,519.5183361449659
-142.8897940884164,-200.0,3.141592653589793,0.0,525.5592470303725
-148.93070497382303,-199.99999999999997,3.141592653589793,0.0,531.600157915779
-154.97161585922962,-200.0,3.141592653589793,0.0,537.6410688011856
-161.01252674463615,-199.99999999999997,3.141592653589793,0.0,543.6819796865922
-167.05343763004282,-200.0,3.141592653589793,0.0,549.7228905719988
